lat,lng,total
10,-3,0.005
47,89,0.01
-34,152,0.007
38,-121,0.008
14,25,0.002
29,5,0.003
-9,-78,0.009
20,98,0.0
-19,-39,0.009
53,0,0.008
-23,150,0.001
49,1,0.01
48,40,0.002
38,97,0.006
35,-99,0.001
16,1,0.003
53,-115,0.005
48,119,0.001
29,-85,0.003
63,39,0.002
40,26,0.004
16,40,0.004
11,120,0.005
-8,14,0.009
26,-98,0.001
-12,-47,0.004
-32,28,0.0
40,-87,0.003
36,-76,0.005
17,82,0.002
50,19,0.0
12,-70,0.004
27,108,0.002
7,49,0.004
41,105,0.01
3,46,0.006
-16,168,0.004
-21,56,0.007
51,83,0.002
50,-122,0.002
30,9,0.004
7,-62,0.008
41,-6,0.001
-17,-52,0.009
-38,-58,0.007
-6,13,0.008
45,6,0.006
60,59,0.008
41,-121,0.007
17,-3,0.008
-6,-64,0.0
-7,35,0.008
-26,-61,0.006
41,-104,0.003
51,30,0.004
32,-8,0.005
27,40,0.003
4,33,0.003
21,98,0.007
-1,122,0.004
32,-89,0.001
31,92,0.0
46,42,0.003
8,-83,0.002
22,36,0.007
19,30,0.009
-10,-64,0.009
-2,22,0.008
-5,40,0.005
69,20,0.009
37,35,0.005
-2,133,0.006
10,93,0.003
-10,36,0.006
-14,-41,0.009
-34,22,0.01
56,46,0.007
37,-108,0.005
52,49,0.01
13,10,0.006
46,91,0.006
-11,24,0.001
-34,-59,0.009
56,93,0.008
-38,-60,0.001
-30,-57,0.004
47,27,0.0
44,11,0.004
-33,-65,0.001
19,106,0.007
-23,-45,0.004
-24,34,0.002
58,45,0.001
20,-96,0.0
35,78,0.002
-38,150,0.004
34,39,0.004
15,27,0.002
10,33,0.009
47,109,0.003
-9,118,0.001
38,-93,0.008
34,-6,0.009
15,-84,0.008
49,16,0.007
25,38,0.001
2,39,0.001
1,28,0.005
16,102,0.008
6,122,0.004
68,65,0.002
49,-99,0.001
48,76,0.0
26,96,0.001
40,111,0.005
2,-70,0.008
38,125,0.004
16,-11,0.009
50,85,0.008
12,-8,0.0
63,75,0.003
-31,28,0.007
-20,-49,0.001
40,-2,0.004
36,1,0.007
35,26,0.001
-31,-55,0.007
6,-67,0.003
3,9,0.008
40,-115,0.003
39,102,0.002
54,68,0.006
50,55,0.006
30,54,0.007
26,49,0.007
60,-135,0.005
6,48,0.005
3,26,0.003
51,111,0.003
12,101,0.001
45,25,0.003
-3,13,0.009
-7,-46,0.004
30,88,0.001
-27,27,0.002
42,144,0.005
60,23,0.009
32,101,0.004
31,-114,0.005
28,40,0.005
8,-13,0.008
-30,-66,0.01
55,69,0.006
51,74,0.004
-3,115,0.009
31,63,0.008
28,-105,0.009
27,68,0.009
42,-78,0.007
22,-83,0.002
21,86,0.008
-1,14,0.008
-2,-57,0.001
-5,-45,0.002
32,-117,0.002
43,120,0.009
45,93,0.009
55,103,0.006
-2,34,0.001
-25,25,0.003
57,70,0.0
37,55,0.002
33,60,0.002
28,100,0.005
9,34,0.006
-9,24,0.001
-4,120,0.006
22,122,0.006
37,-88,0.009
8,101,0.007
46,119,0.002
43,-93,0.003
-11,124,0.007
0,41,0.006
-23,34,0.01
-5,143,0.001
47,47,0.007
43,52,0.006
24,-110,0.008
23,73,0.006
1,105,0.008
-4,-45,0.002
11,35,0.0
14,45,0.0
25,84,0.004
-13,21,0.004
58,17,0.003
37,123,0.007
34,75,0.001
-4,130,0.007
11,-12,0.009
48,-118,0.003
10,21,0.008
5,-58,0.002
1,-57,0.001
53,71,0.002
49,76,0.004
29,45,0.003
14,18,0.006
25,50,0.01
2,11,0.005
-18,-46,0.007
-19,33,0.005
49,-103,0.003
-8,-72,0.005
-12,-69,0.006
25,-97,0.003
40,83,0.005
39,-88,0.0
50,121,0.005
12,20,0.001
-7,114,0.007
14,107,0.002
-37,149,0.006
62,130,0.0
59,36,0.004
39,57,0.009
36,-99,0.001
35,54,0.003
30,-89,0.008
-8,-42,0.007
7,40,0.003
-17,34,0.0
54,32,0.004
-4,-50,0.008
30,66,0.005
26,69,0.009
7,-7,0.001
-20,34,0.004
-3,-60,0.003
-19,-44,0.005
-26,25,0.009
-27,-54,0.005
21,75,0.008
30,100,0.001
42,116,0.004
4,-53,0.0
-16,-66,0.009
21,-100,0.0
-20,-63,0.005
-40,-68,0.002
32,73,0.008
28,68,0.002
-16,13,0.009
-5,-41,0.006
55,41,0.005
32,-80,0.003
31,35,0.01
9,79,0.0
42,-90,0.01
19,53,0.0
-2,-45,0.001
65,24,0.001
46,50,0.004
43,84,0.006
45,129,0.004
4,120,0.008
22,60,0.0
9,-83,0.004
46,-63,0.007
-14,16,0.004
52,10,0.009
24,88,0.009
0,-50,0.009
34,126,0.006
-5,122,0.007
-24,-52,0.008
-28,-57,0.005
43,-1,0.009
24,71,0.008
58,83,0.006
20,74,0.009
-1,11,0.004
13,103,0.01
43,16,0.0
23,77,0.008
38,-7,0.005
0,-76,0.004
47,100,0.008
25,112,0.005
-13,33,0.004
61,17,0.0
58,37,0.009
34,47,0.0
49,87,0.007
48,-98,0.003
20,87,0.001
-33,-56,0.0
-18,35,0.002
53,43,0.007
29,17,0.01
5,15,0.002
48,132,0.006
-19,178,0.005
63,18,0.002
36,58,0.002
16,45,0.007
50,125,0.007
39,29,0.001
54,9,0.009
-55,-66,0.009
27,79,0.006
29,104,0.006
41,128,0.0
-17,22,0.009
54,28,0.005
53,95,0.0
30,30,0.004
41,141,0.0
-21,-53,0.009
64,29,0.003
41,30,0.006
18,95,0.008
36,118,0.008
17,36,0.007
32,110,0.0
-7,26,0.001
27,-102,0.006
45,-78,0.003
41,-69,0.007
21,-80,0.006
52,106,0.004
31,6,0.009
-16,49,0.003
32,-108,0.009
31,119,0.001
9,123,0.001
46,3,0.002
18,-12,0.002
6,-8,0.006
66,15,0.002
6,117,0.009
42,25,0.006
18,35,0.001
33,3,0.003
14,40,0.002
-15,-49,0.004
22,103,0.009
52,38,0.003
13,37,0.005
47,-91,0.004
-10,-40,0.001
-11,35,0.0
56,90,0.005
33,-95,0.006
44,16,0.0
43,-5,0.01
58,103,0.003
-4,28,0.004
-10,161,0.002
47,7,0.005
44,-97,0.009
-13,-44,0.008
23,113,0.007
38,21,0.004
14,-1,0.007
10,-2,0.004
47,88,0.008
38,-120,0.002
6,39,0.001
14,26,0.009
29,8,0.009
-9,-79,0.0
20,99,0.002
53,-1,0.006
49,4,0.003
48,17,0.001
40,140,0.008
38,98,0.008
35,-92,0.001
16,2,0.001
53,-112,0.008
12,-3,0.009
48,120,0.001
29,-90,0.01
40,27,0.007
16,17,0.004
-8,15,0.008
-12,-46,0.006
40,-86,0.005
39,129,0.009
17,81,0.008
50,20,0.009
12,-69,0.008
27,107,0.007
7,48,0.009
41,108,0.009
3,45,0.003
51,82,0.003
50,-125,0.008
-15,50,0.006
30,10,0.001
7,-63,0.008
41,-7,0.002
-17,-53,0.009
-6,14,0.003
30,121,0.008
23,96,0.002
45,5,0.007
60,60,0.008
-4,-41,0.003
17,0,0.003
-6,-67,0.008
28,13,0.002
-26,-60,0.006
41,-105,0.006
-8,132,0.004
51,29,0.003
32,1,0.005
27,39,0.003
4,34,0.009
21,97,0.006
-1,121,0.001
-3,-42,0.007
32,-88,0.009
46,31,0.01
8,-82,0.008
19,29,0.004
-2,27,0.005
-5,39,0.007
69,19,0.01
57,105,0.006
37,30,0.005
-2,134,0.003
-10,33,0.005
-14,-40,0.008
-34,27,0.005
56,47,0.009
52,50,0.008
13,9,0.005
47,-55,0.001
9,6,0.009
46,92,0.008
-11,23,0.01
-14,-57,0.006
-4,134,0.01
-34,-58,0.009
56,94,0.002
-38,-63,0.003
47,26,0.008
44,12,0.003
19,105,0.009
-8,142,0.001
-24,35,0.003
58,46,0.004
38,49,0.01
35,77,0.007
37,98,0.01
34,40,0.004
15,26,0.001
10,34,0.001
47,124,0.002
-33,30,0.005
38,-92,0.004
-8,139,0.004
15,-85,0.008
49,15,0.002
2,40,0.009
1,27,0.006
16,103,0.005
-22,34,0.005
49,-96,0.004
26,93,0.009
25,-106,0.008
40,112,0.002
2,-73,0.009
1,12,0.006
38,126,0.003
16,-10,0.01
50,86,0.003
12,-7,0.005
-31,27,0.001
40,-1,0.004
36,2,0.008
35,25,0.006
-7,150,0.007
-31,-52,0.006
6,-66,0.009
45,-120,0.003
39,101,0.006
54,65,0.001
50,56,0.005
30,59,0.002
26,50,0.006
6,45,0.004
3,25,0.007
17,-66,0.001
-21,19,0.004
51,110,0.003
12,102,0.008
45,28,0.005
-25,-64,0.008
-3,16,0.002
-7,-47,0.003
45,-87,0.009
42,141,0.002
60,24,0.005
-29,-67,0.009
17,-4,0.004
32,102,0.006
31,-115,0.003
28,41,0.01
8,-12,0.001
55,68,0.007
51,73,0.006
31,62,0.0
28,-104,0.009
27,67,0.006
42,-81,0.008
4,-2,0.005
22,-82,0.004
21,85,0.006
-1,13,0.006
-39,-62,0.006
-2,-56,0.003
-5,-46,0.0
32,-116,0.006
46,75,0.002
43,119,0.009
55,102,0.004
-8,-76,0.006
-25,24,0.009
5,9,0.003
57,69,0.005
37,66,0.004
33,59,0.005
28,101,0.002
9,33,0.002
-15,39,0.003
37,-89,0.008
46,120,0.008
43,-94,0.008
-11,123,0.002
0,42,0.003
-23,33,0.009
-5,142,0.004
47,46,0.008
23,72,0.005
-4,-44,0.004
11,34,0.005
-9,-41,0.001
25,83,0.008
-13,28,0.008
58,18,0.004
35,121,0.008
37,118,0.009
34,76,0.003
-4,131,0.008
49,94,0.003
11,-13,0.008
48,-117,0.005
10,22,0.005
-32,153,0.002
53,50,0.006
49,75,0.007
29,48,0.003
5,122,0.0
25,49,0.009
-2,105,0.005
2,12,0.008
-19,36,0.001
68,30,0.009
49,-100,0.0
48,105,0.01
26,129,0.002
-12,-68,0.005
40,84,0.002
39,-89,0.001
36,15,0.006
50,122,0.002
12,21,0.002
-7,113,0.004
18,123,0.004
59,35,0.006
39,56,0.004
36,-98,0.006
35,53,0.007
30,-88,0.002
-8,-41,0.001
7,39,0.009
-17,33,0.005
54,29,0.004
-55,-68,0.007
30,23,0.001
26,70,0.003
7,-8,0.004
6,73,0.006
22,98,0.007
-3,-61,0.009
-26,26,0.008
-27,-55,0.006
45,64,0.01
60,5,0.008
41,65,0.0
21,70,0.008
30,97,0.008
42,113,0.005
4,-52,0.009
-16,-65,0.0
21,-101,0.001
-20,-62,0.007
-41,-62,0.007
32,74,0.008
28,69,0.007
8,24,0.004
-16,14,0.002
55,40,0.005
31,34,0.007
-15,26,0.003
21,121,0.009
33,121,0.003
-6,151,0.003
65,23,0.007
43,83,0.004
45,132,0.009
22,57,0.009
6,2,0.001
9,-80,0.009
46,-62,0.0
-14,13,0.008
-15,-74,0.002
57,17,0.004
52,11,0.006
-43,172,0.002
24,81,0.01
-5,121,0.008
-24,-59,0.009
-28,-56,0.005
43,-2,0.002
24,72,0.006
58,84,0.009
20,75,0.004
-28,23,0.004
23,108,0.001
38,-6,0.001
14,-92,0.007
47,99,0.001
25,111,0.001
58,38,0.0
-46,169,0.004
34,48,0.0
49,90,0.008
48,-97,0.002
-18,36,0.006
53,38,0.008
44,113,0.002
5,26,0.008
48,125,0.005
63,17,0.01
40,56,0.004
36,59,0.009
35,8,0.0
16,46,0.003
50,126,0.002
39,28,0.009
54,10,0.001
27,78,0.01
29,103,0.003
41,127,0.003
-17,21,0.01
54,25,0.004
53,106,0.006
30,35,0.007
6,37,0.008
64,30,0.009
41,29,0.005
18,96,0.01
36,119,0.003
17,35,0.004
32,111,0.004
-7,25,0.002
45,-79,0.007
41,-82,0.002
52,107,0.01
51,24,0.004
31,5,0.0
-13,-43,0.008
-16,50,0.002
55,12,0.002
32,-115,0.009
31,118,0.007
46,4,0.002
42,-121,0.009
18,-15,0.006
-6,123,0.001
66,16,0.01
-44,-74,0.003
42,26,0.002
18,36,0.0
-1,-74,0.006
33,6,0.005
-5,-69,0.008
-14,49,0.0
-15,-46,0.01
22,104,0.006
37,-6,0.009
52,39,0.003
13,40,0.009
-10,-43,0.001
24,117,0.009
-33,118,0.007
56,91,0.003
33,-92,0.0
44,17,0.001
43,-6,0.008
-4,29,0.001
47,6,0.01
44,-96,0.007
-13,-45,0.01
23,112,0.008
38,22,0.002
35,104,0.006
14,0,0.008
10,11,0.009
47,87,0.001
38,-123,0.008
49,118,0.007
29,7,0.002
20,100,0.005
53,10,0.008
49,3,0.009
48,18,0.003
44,77,0.009
38,103,0.004
35,-93,0.004
53,-113,0.006
12,-2,0.004
29,-91,0.007
14,110,0.005
40,28,0.005
-20,-44,0.01
-8,16,0.007
7,94,0.005
40,-85,0.004
39,128,0.003
17,84,0.004
16,-95,0.001
50,17,0.005
12,-68,0.001
27,106,0.001
7,47,0.003
41,107,0.007
51,81,0.004
30,-1,0.006
7,-64,0.007
41,-4,0.0
-17,-54,0.004
-6,27,0.002
-35,-57,0.006
30,122,0.002
45,8,0.001
60,61,0.009
41,-119,0.009
-35,150,0.006
17,-1,0.007
-6,-66,0.002
-26,-63,0.001
8,9,0.002
41,-102,0.004
51,36,0.001
32,2,0.006
28,-3,0.005
27,38,0.009
4,35,0.001
22,-105,0.007
21,100,0.0
-1,120,0.004
46,32,0.004
8,-81,0.002
19,36,0.006
-2,28,0.006
-5,38,0.005
-10,151,0.008
22,-15,0.004
37,29,0.0
-2,139,0.006
-8,-62,0.007
10,107,0.002
-10,34,0.006
-2,12,0.002
-34,28,0.008
56,48,0.004
52,51,0.01
-12,-67,0.002
13,12,0.002
9,5,0.009
46,89,0.003
-14,-56,0.01
-34,-53,0.001
56,95,0.001
-38,-62,0.005
47,25,0.004
19,96,0.009
34,-106,0.003
-36,-61,0.006
-23,-59,0.002
-24,36,0.006
44,-100,0.004
58,59,0.001
37,97,0.007
34,37,0.005
15,25,0.003
10,31,0.007
47,123,0.008
5,-76,0.001
-33,29,0.007
38,-95,0.005
15,-86,0.005
49,18,0.008
25,40,0.007
2,37,0.0
1,30,0.007
16,104,0.007
-22,31,0.007
49,-97,0.001
26,94,0.008
25,-107,0.005
40,105,0.007
2,-72,0.005
1,11,0.007
-18,-69,0.006
16,-9,0.005
50,83,0.01
12,-6,0.002
-31,30,0.008
40,0,0.009
36,3,0.004
29,122,0.006
-31,-53,0.004
6,-61,0.004
39,100,0.001
54,66,0.007
50,53,0.006
30,60,0.002
26,47,0.003
6,46,0.002
3,16,0.008
17,-67,0.007
-21,18,0.007
51,109,0.004
12,103,0.01
45,27,0.005
22,84,0.004
-3,15,0.005
-7,-44,0.009
45,-84,0.004
42,142,0.004
60,25,0.008
32,103,0.01
31,-100,0.002
28,42,0.004
-30,-68,0.005
55,67,0.003
51,64,0.007
-3,109,0.003
31,61,0.002
9,101,0.004
27,66,0.003
42,-80,0.005
4,-1,0.002
21,88,0.002
-1,28,0.006
-39,-63,0.005
-5,-47,0.007
46,76,0.003
43,118,0.001
-48,-67,0.002
55,101,0.008
-10,-63,0.009
46,-101,0.008
57,72,0.005
37,65,0.004
33,62,0.004
28,102,0.002
9,36,0.002
37,-78,0.008
-4,-73,0.001
13,-16,0.007
43,-95,0.001
24,29,0.004
0,43,0.01
-23,36,0.003
-5,141,0.01
13,125,0.007
47,45,0.005
23,71,0.0
15,108,0.005
11,33,0.007
-43,-74,0.004
-9,-42,0.005
25,102,0.009
-13,27,0.001
58,15,0.01
35,112,0.002
37,117,0.003
34,73,0.005
-4,132,0.0
49,93,0.004
11,-14,0.009
48,-116,0.009
-9,113,0.003
5,-56,0.007
1,-55,0.005
53,49,0.01
49,46,0.008
29,47,0.005
25,52,0.0
-19,35,0.002
68,31,0.005
49,-101,0.001
48,106,0.009
40,77,0.01
39,-90,0.006
36,16,0.008
50,119,0.002
12,22,0.007
-7,116,0.004
11,93,0.01
-12,44,0.002
59,34,0.01
39,55,0.004
36,-97,0.004
35,60,0.01
30,-91,0.006
-8,-40,0.0
7,38,0.009
8,99,0.003
54,30,0.004
30,24,0.005
7,-9,0.008
6,74,0.006
17,-71,0.002
-3,-66,0.003
-26,31,0.009
-27,-52,0.006
45,63,0.004
60,6,0.009
41,68,0.008
17,74,0.007
-6,-45,0.003
30,98,0.005
45,-112,0.003
42,114,0.001
-16,-64,0.005
21,-106,0.002
54,79,0.002
32,75,0.003
28,70,0.009
8,17,0.007
-16,15,0.004
55,39,0.0
6,118,0.008
31,33,0.009
9,81,0.005
42,-108,0.002
-2,-47,0.004
-6,152,0.008
5,37,0.0
65,26,0.002
43,82,0.009
45,131,0.006
-4,152,0.009
22,58,0.009
-35,119,0.002
46,-73,0.008
-11,-68,0.001
-14,14,0.003
-15,-75,0.006
0,105,0.0
52,12,0.007
28,130,0.006
24,82,0.004
-24,-58,0.003
-28,-55,0.005
43,-3,0.007
20,76,0.004
-24,-43,0.0
-28,24,0.003
43,14,0.007
23,107,0.001
38,-1,0.008
-25,-68,0.002
14,50,0.001
25,114,0.004
-18,146,0.003
34,45,0.004
49,89,0.009
48,-96,0.004
-18,33,0.007
53,37,0.0
29,19,0.001
44,114,0.008
5,25,0.005
48,126,0.001
63,16,0.008
40,49,0.005
39,10,0.009
36,60,0.002
35,7,0.009
16,47,0.006
39,27,0.009
27,77,0.0
29,98,0.0
41,130,0.01
54,26,0.0
53,105,0.004
-35,-70,0.001
30,36,0.001
6,38,0.009
-25,-55,0.01
-19,-49,0.008
64,31,0.002
41,32,0.004
-29,-58,0.01
36,120,0.006
17,38,0.007
32,112,0.009
-7,28,0.0
45,-76,0.006
41,-83,0.002
52,108,0.005
51,23,0.003
5,27,0.008
-16,51,0.0
55,11,0.007
51,8,0.009
32,-114,0.001
31,117,0.009
46,1,0.005
18,-14,0.006
-8,-69,0.007
-6,124,0.007
42,23,0.005
18,33,0.003
-1,-75,0.006
33,5,0.0
-14,50,0.0
-18,-53,0.006
-15,-47,0.01
22,101,0.002
0,125,0.001
37,-7,0.002
52,40,0.006
13,39,0.004
47,-109,0.001
-10,-42,0.004
24,118,0.004
-33,117,0.003
56,92,0.007
33,-93,0.005
47,36,0.006
44,18,0.005
43,-7,0.007
20,40,0.007
-4,30,0.001
47,5,0.003
44,-95,0.004
62,17,0.002
23,111,0.002
20,-105,0.0
38,27,0.001
35,103,0.007
15,36,0.003
14,-3,0.005
10,12,0.007
47,86,0.005
38,-122,0.003
49,117,0.008
29,2,0.002
-13,-76,0.006
-29,-51,0.003
16,109,0.005
53,9,0.001
-23,151,0.004
49,6,0.006
48,19,0.001
44,78,0.003
38,104,0.008
35,-94,0.004
12,-1,0.003
59,-151,0.005
40,21,0.009
-12,-44,0.007
40,-84,0.008
-28,153,0.008
39,127,0.008
17,83,0.005
16,-94,0.005
50,18,0.0
27,105,0.001
7,46,0.005
41,94,0.008
51,104,0.005
50,-127,0.007
30,0,0.007
7,-65,0.009
41,-5,0.0
3,-60,0.001
21,-16,0.01
-17,-55,0.002
69,89,0.0
30,111,0.007
8,123,0.008
45,7,0.001
-35,149,0.006
17,2,0.009
-26,-62,0.002
64,178,0.001
41,-103,0.01
51,35,0.003
32,3,0.0
28,-2,0.01
27,37,0.005
4,36,0.003
22,-104,0.009
21,99,0.005
-39,-72,0.008
-52,-71,0.005
46,29,0.001
8,-80,0.002
22,39,0.007
19,35,0.009
-2,25,0.002
-5,37,0.003
42,-5,0.003
37,32,0.008
-10,-77,0.004
10,108,0.007
-10,39,0.005
-14,-42,0.006
-34,25,0.002
56,73,0.005
52,52,0.009
-44,-65,0.002
13,11,0.002
9,8,0.004
46,90,0.003
24,26,0.005
-14,-59,0.009
56,96,0.002
47,24,0.005
19,95,0.003
34,-109,0.01
-23,-56,0.01
-24,29,0.0
-43,-63,0.008
58,60,0.003
38,55,0.002
35,83,0.004
37,100,0.001
34,38,0.004
15,24,0.001
14,-23,0.008
10,32,0.005
47,122,0.005
5,-77,0.009
38,-94,0.005
15,-87,0.001
49,17,0.001
48,-72,0.005
-28,-50,0.004
25,39,0.009
2,38,0.001
1,29,0.008
16,81,0.006
-22,32,0.004
49,-94,0.004
48,71,0.007
26,107,0.002
25,-104,0.008
40,106,0.007
2,-75,0.009
36,37,0.002
-18,-68,0.001
16,-8,0.009
50,84,0.001
12,-5,0.007
-21,-48,0.008
-31,29,0.001
40,-7,0.007
36,4,0.0
35,15,0.009
29,121,0.009
40,-112,0.006
39,99,0.001
54,71,0.01
50,54,0.001
30,57,0.005
26,48,0.005
3,15,0.008
8,81,0.009
17,-64,0.005
-21,17,0.005
51,116,0.008
12,104,0.01
-7,-74,0.008
45,22,0.003
6,94,0.005
-3,42,0.002
-7,-45,0.0
30,91,0.01
-27,24,0.007
45,-85,0.002
60,26,0.001
-30,-56,0.005
32,104,0.001
-33,-66,0.002
31,-101,0.003
28,43,0.0
-30,-71,0.008
55,66,0.007
51,63,0.007
-3,112,0.003
31,76,0.006
28,-102,0.002
27,65,0.01
42,-83,0.003
21,87,0.007
-1,27,0.008
-3,-47,0.005
-2,-58,0.006
-5,-40,0.008
43,117,0.006
45,90,0.007
42,64,0.006
-1,12,0.008
46,-100,0.007
57,71,0.006
37,68,0.001
33,61,0.008
28,103,0.004
9,35,0.004
-15,41,0.004
56,13,0.001
37,-79,0.01
-4,-72,0.004
33,-82,0.007
9,-12,0.0
46,118,0.002
43,-88,0.006
-9,37,0.009
-4,139,0.009
0,44,0.002
-23,35,0.007
-30,-52,0.008
23,70,0.001
1,110,0.001
38,-28,0.009
15,107,0.01
11,40,0.01
-9,-43,0.004
25,101,0.004
-13,26,0.002
61,10,0.006
58,16,0.008
35,111,0.001
37,120,0.001
34,74,0.007
15,-4,0.007
49,96,0.002
11,-15,0.008
48,-123,0.008
5,-57,0.004
20,110,0.004
53,52,0.003
49,45,0.006
29,74,0.005
25,51,0.001
2,10,0.007
-19,30,0.005
68,32,0.001
49,-66,0.009
48,107,0.002
26,127,0.009
-32,-71,0.006
40,78,0.001
39,-91,0.007
50,120,0.006
12,23,0.009
-7,115,0.008
11,100,0.008
-12,29,0.009
59,33,0.001
39,54,0.004
36,-96,0.006
35,59,0.002
30,-90,0.003
-8,-47,0.006
7,37,0.004
-18,17,0.005
-17,31,0.0
-20,48,0.004
54,35,0.003
7,-10,0.01
6,15,0.0
-3,-67,0.003
-7,-62,0.0
-26,32,0.005
-27,-53,0.008
60,7,0.003
41,67,0.003
21,72,0.006
36,77,0.004
-6,-44,0.003
42,111,0.002
-16,-55,0.005
54,80,0.005
-40,-73,0.008
32,76,0.009
28,71,0.001
27,-12,0.003
8,18,0.001
-16,16,0.004
55,38,0.008
31,32,0.005
42,-111,0.009
-2,-46,0.002
-6,149,0.005
65,25,0.005
43,81,0.006
45,126,0.008
52,-114,0.001
13,-83,0.003
9,-78,0.002
46,-72,0.004
-11,-69,0.004
-15,-72,0.006
57,19,0.009
52,-3,0.008
-10,-69,0.006
24,83,0.004
34,121,0.01
-24,-57,0.008
-28,-54,0.007
43,4,0.009
-36,-70,0.006
13,100,0.004
-28,25,0.007
43,13,0.001
23,106,0.01
38,0,0.006
25,113,0.01
34,46,0.001
49,92,0.006
-8,113,0.004
-18,34,0.008
53,40,0.003
29,14,0.004
44,115,0.006
5,28,0.001
-20,-51,0.006
48,127,0.006
63,15,0.0
40,50,0.006
39,9,0.002
36,45,0.002
35,6,0.01
16,48,0.01
39,26,0.004
17,122,0.006
50,11,0.004
27,84,0.002
29,97,0.006
0,98,0.004
41,129,0.001
-36,174,0.002
30,33,0.001
6,43,0.001
-30,31,0.001
41,31,0.003
18,94,0.007
36,121,0.005
17,37,0.004
32,121,0.006
-7,27,0.01
27,-97,0.001
45,-77,0.006
42,83,0.003
41,-80,0.007
21,-71,0.002
52,93,0.004
-26,153,0.01
51,22,0.003
27,16,0.005
55,10,0.009
51,7,0.006
32,-113,0.006
31,132,0.005
46,2,0.002
42,-123,0.002
-29,115,0.001
-5,16,0.005
-6,121,0.002
66,14,0.003
42,24,0.008
18,34,0.004
6,11,0.003
33,8,0.005
5,117,0.006
-15,-44,0.004
22,102,0.01
37,-4,0.006
52,41,0.009
13,34,0.01
-10,-37,0.007
24,119,0.004
56,85,0.004
33,-90,0.001
47,35,0.002
44,19,0.0
20,41,0.004
15,146,0.007
44,-94,0.004
62,18,0.003
23,110,0.007
20,-104,0.001
38,28,0.004
35,102,0.006
15,35,0.01
14,-2,0.009
10,9,0.001
47,85,0.001
-9,122,0.001
-33,-59,0.002
61,50,0.002
-18,179,0.001
49,120,0.006
48,-67,0.002
-13,-77,0.006
-19,-43,0.0
53,12,0.008
49,5,0.002
48,20,0.003
44,79,0.0
38,101,0.001
35,-95,0.007
16,-3,0.0
12,0,0.004
29,-89,0.007
-3,12,0.003
62,78,0.01
59,48,0.001
40,22,0.006
11,124,0.01
-32,24,0.004
40,-91,0.005
39,126,0.002
16,-93,0.001
50,15,0.007
27,112,0.006
7,45,0.009
41,93,0.01
-50,-74,0.006
39,143,0.005
51,103,0.004
30,-3,0.006
-33,-70,0.008
7,-66,0.001
-17,-56,0.004
-6,25,0.003
30,112,0.009
-37,-73,0.007
8,124,0.007
45,2,0.005
-35,152,0.003
17,1,0.005
32,77,0.002
-26,-57,0.0
8,11,0.007
41,-100,0.001
51,34,0.002
32,4,0.008
27,44,0.008
4,21,0.009
21,94,0.0
-1,118,0.002
-39,-73,0.009
46,30,0.001
43,128,0.003
-4,143,0.004
22,40,0.003
19,34,0.003
-2,26,0.007
-10,149,0.003
42,-4,0.0
57,94,0.008
37,31,0.008
-2,137,0.003
10,105,0.007
-10,40,0.003
-9,28,0.005
-4,116,0.008
-34,26,0.006
